10,1,0,0
20,1,0,0
30,2,0,0
40,3,0,0
50,4,0,0
60,5,1,0
70,6,1,0
80,6,1,0
90,8,1,0
100,8,1,1
110,9,2,1
120,10,2,1
130,11,2,1
140,12,2,1
150,13,2,1
160,14,3,1
170,15,3,1
180,15,3,1
190,16,3,2
200,17,3,2
210,18,4,2
220,19,4,2
230,20,4,2
240,20,4,2
250,22,4,2
260,22,5,2
270,23,5,2
280,24,5,3
290,25,5,3
300,26,5,3
310,27,6,3
320,27,6,3
330,29,6,3
340,29,6,3
350,30,6,3
360,31,6,3
370,32,7,4
380,33,7,4
390,34,7,4
400,35,7,4
410,35,7,4
420,36,8,4
430,37,8,4
440,38,8,4
450,39,8,4
460,40,8,5
470,41,9,5
480,41,9,5
490,43,9,5
500,43,9,5
510,44,9,5
520,45,10,5
530,46,10,5
540,47,10,5
550,48,10,6
560,49,10,6
570,50,11,6
580,50,11,6
590,51,11,6
600,52,11,6
610,53,11,6
620,54,12,6
630,55,12,6
640,55,12,7
650,57,12,7
660,57,12,7
670,58,13,7
680,59,13,7
690,60,13,7
700,61,13,7
710,62,13,7
720,63,14,7
730,64,14,8
740,64,14,8
750,65,14,8
760,66,14,8
770,67,14,8
780,68,15,8
790,69,15,8
800,70,15,8
810,71,15,8
820,71,15,9
830,72,16,9
840,73,16,9
850,74,16,9
860,75,16,9
870,76,16,9
880,76,17,9
890,77,17,9
900,78,17,9
910,79,17,10
920,80,17,10
930,81,18,10
940,82,18,10
950,83,18,10
960,83,18,10
970,85,18,10
980,85,19,10
990,86,19,10
1000,87,19,11
