0.05,43,9,5
0.1,87,33,18
0.15,131,64,35
0.2,174,98,52
0.25,218,130,68
0.3,262,161,83
0.35,306,187,95
0.4,349,210,104
0.45,393,230,111
0.5,437,250,116
0.55,481,268,119
